rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-16.00001,2012-01-01_2016-01-01,98000.0,-0.3882,1.1287,-38048.0,110975.0,-3.2e-05,9.4e-05,-0.33,0.966,1.0,1.0,10.64,4.0,16
RGI60-16.00001,2013-01-01_2014-01-01,98000.0,-0.3338,4.3497,-32714.0,426338.0,-2.8e-05,0.000362,-0.2837,3.6985,1.0,1.0,2.0,1.0,16
RGI60-16.00001,2014-01-01_2015-01-01,98000.0,-0.4115,4.3907,-40330.0,430397.0,-3.4e-05,0.000366,-0.3498,3.734,1.0,1.0,3.09,1.0,16
RGI60-16.00001,2014-01-01_2016-01-01,98000.0,-0.4501,2.2614,-44107.0,221862.0,-3.7e-05,0.000189,-0.3826,1.9266,1.0,1.0,5.36,2.0,16
RGI60-16.00001,2015-01-01_2016-01-01,98000.0,-0.4886,4.5651,-47885.0,447518.0,-4.1e-05,0.00038,-0.4153,3.8829,1.0,1.0,2.27,1.0,16
RGI60-16.00001,2015-01-01_2020-01-01,98000.0,-0.4817,0.9418,-47208.0,92965.0,-4e-05,7.9e-05,-0.4095,0.8126,1.0,1.0,6.27,3.91,16
RGI60-16.00001,2016-01-01_2017-01-01,98000.0,-0.4461,4.6185,-43716.0,452726.0,-3.7e-05,0.000385,-0.3792,3.9278,1.0,1.0,1.0,0.91,16
RGI60-16.00001,2016-01-01_2018-01-01,98000.0,-0.4615,2.3192,-45232.0,227530.0,-3.8e-05,0.000193,-0.3923,1.9758,1.0,1.0,3.0,1.91,16
RGI60-16.00001,2016-01-01_2020-01-01,98000.0,-0.48,1.2081,-47039.0,118912.0,-4e-05,0.000101,-0.408,1.0362,1.0,1.0,4.0,2.91,16
RGI60-16.00001,2017-01-01_2018-01-01,98000.0,-0.477,4.5637,-46748.0,447379.0,-4e-05,0.00038,-0.4055,3.8816,1.0,1.0,2.0,1.0,16
RGI60-16.00001,2018-01-01_2019-01-01,98000.0,-0.4924,4.7612,-48256.0,466736.0,-4.1e-05,0.000397,-0.4185,4.0495,1.0,1.0,0.0,0.0,16
RGI60-16.00001,2018-01-01_2020-01-01,98000.0,-0.4984,2.3901,-48847.0,234508.0,-4.2e-05,0.000199,-0.4237,2.0367,1.0,1.0,1.0,1.0,16
RGI60-16.00001,2019-01-01_2020-01-01,98000.0,-0.5045,4.9504,-49438.0,485282.0,-4.2e-05,0.000413,-0.4288,4.2104,1.0,1.0,1.0,1.0,16
RGI60-16.00002,2000-01-01_2001-01-01,147000.0,-0.1137,4.22,-16714.0,620350.0,-1.4e-05,0.000527,-0.0966,3.5871,1.0,1.0,0.06,0.06,16
RGI60-16.00002,2000-01-01_2002-01-01,147000.0,-0.0941,2.1732,-13839.0,319477.0,-1.2e-05,0.000272,-0.08,1.8474,1.0,1.0,2.12,1.06,16
RGI60-16.00002,2000-01-01_2004-01-01,147000.0,-0.11,1.0521,-16170.0,154699.0,-1.4e-05,0.000131,-0.0935,0.8948,1.0,1.0,5.24,2.06,16
RGI60-16.00002,2000-01-01_2005-01-01,147000.0,-0.1096,0.8436,-16114.0,124060.0,-1.4e-05,0.000105,-0.0932,0.7177,1.0,1.0,9.24,3.06,16
RGI60-16.00002,2000-01-01_2010-01-01,147000.0,-0.1409,0.4305,-20710.0,63467.0,-1.8e-05,5.4e-05,-0.1198,0.3682,1.0,1.0,18.47,6.29,16
RGI60-16.00002,2000-01-01_2020-01-01,147000.0,-0.1455,0.2185,-21386.0,32511.0,-1.8e-05,2.8e-05,-0.1237,0.1904,1.0,1.0,41.47,15.12,16
RGI60-16.00002,2001-01-01_2002-01-01,147000.0,-0.0746,4.0654,-10964.0,597617.0,-9e-06,0.000508,-0.0634,3.4556,1.0,1.0,2.06,1.0,16
RGI60-16.00002,2002-01-01_2003-01-01,147000.0,-0.0623,4.077,-9158.0,599326.0,-8e-06,0.000509,-0.053,3.4655,1.0,1.0,0.0,0.0,16
RGI60-16.00002,2002-01-01_2004-01-01,147000.0,-0.1259,2.0266,-18502.0,297941.0,-1.6e-05,0.000253,-0.107,1.723,1.0,1.0,3.12,1.0,16
RGI60-16.00002,2003-01-01_2004-01-01,147000.0,-0.1894,3.9294,-27846.0,577658.0,-2.4e-05,0.000491,-0.161,3.3404,1.0,1.0,3.12,1.0,16
RGI60-16.00002,2004-01-01_2005-01-01,147000.0,-0.1081,3.9149,-15887.0,575508.0,-1.4e-05,0.000489,-0.0919,3.3278,1.0,1.0,4.0,1.0,16
RGI60-16.00002,2004-01-01_2006-01-01,147000.0,-0.1062,1.9448,-15607.0,285916.0,-1.3e-05,0.000243,-0.0902,1.6534,1.0,1.0,7.0,2.0,16
RGI60-16.00002,2004-01-01_2008-01-01,147000.0,-0.2251,0.9649,-33091.0,142056.0,-2.8e-05,0.000121,-0.1913,0.8227,1.0,1.0,10.24,3.24,16
RGI60-16.00002,2005-01-01_2006-01-01,147000.0,-0.1043,3.9,-15328.0,573313.0,-1.3e-05,0.000487,-0.0886,3.3151,1.0,1.0,3.0,1.0,16
RGI60-16.00002,2005-01-01_2010-01-01,147000.0,-0.1722,0.8037,-25307.0,118297.0,-2.2e-05,0.000101,-0.1463,0.685,1.0,1.0,9.24,3.24,16
RGI60-16.00002,2006-01-01_2007-01-01,147000.0,-0.3661,3.8817,-53820.0,570750.0,-4.6e-05,0.000485,-0.3112,3.3011,1.0,1.0,0.24,0.24,16
