rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-09.00001,2000-01-01_2001-01-01,3818000.0,-0.0995,3.7292,-379802.0,14238235.0,-0.000323,0.012103,-0.0846,3.1699,0.989,1.0,0.0,0.0,9
RGI60-09.00001,2000-01-01_2002-01-01,3818000.0,-0.0839,1.7257,-320185.0,6588654.0,-0.000272,0.0056,-0.0713,1.4668,0.989,1.0,0.0,0.0,9
RGI60-09.00001,2000-01-01_2004-01-01,3818000.0,-0.1967,0.8505,-750969.0,3247306.0,-0.000638,0.002761,-0.1672,0.7231,0.989,1.0,4.42,1.87,9
RGI60-09.00001,2000-01-01_2005-01-01,3818000.0,-0.1925,0.6838,-735089.0,2610875.0,-0.000625,0.00222,-0.1637,0.5814,0.989,1.0,6.06,2.84,9
RGI60-09.00001,2000-01-01_2010-01-01,3818000.0,-0.1975,0.3392,-754083.0,1295642.0,-0.000641,0.001102,-0.1679,0.2888,0.989,1.0,14.75,5.83,9
RGI60-09.00001,2000-01-01_2020-01-01,3818000.0,-0.2547,0.1706,-972426.0,652730.0,-0.000827,0.000558,-0.2165,0.1464,0.989,1.0,51.18,14.41,9
RGI60-09.00001,2001-01-01_2002-01-01,3818000.0,-0.0682,3.2492,-260567.0,12405515.0,-0.000221,0.010545,-0.058,2.7618,0.989,1.0,0.0,0.0,9
RGI60-09.00001,2002-01-01_2003-01-01,3818000.0,-0.2619,2.8931,-999943.0,11046022.0,-0.00085,0.009389,-0.2226,2.4592,0.989,1.0,0.87,0.87,9
RGI60-09.00001,2002-01-01_2004-01-01,3818000.0,-0.3095,1.4338,-1181754.0,5474547.0,-0.001004,0.004654,-0.2631,1.219,0.989,1.0,4.42,1.87,9
RGI60-09.00001,2003-01-01_2004-01-01,3818000.0,-0.3571,2.834,-1363565.0,10820239.0,-0.001159,0.009198,-0.3036,2.409,0.989,1.0,3.54,1.0,9
RGI60-09.00001,2004-01-01_2005-01-01,3818000.0,-0.1759,2.8285,-671569.0,10799142.0,-0.000571,0.009179,-0.1495,2.4042,0.989,1.0,1.64,0.97,9
