rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-19.00001,2000-01-01_2001-01-01,64608000.0,0.049,2.8692,3166797.0,185376458.0,0.002692,0.15757,0.0417,2.4389,0.996,1.0,0.0,0.0,19
RGI60-19.00001,2000-01-01_2002-01-01,64608000.0,0.0332,1.3097,2145671.0,84614265.0,0.001824,0.071922,0.0282,1.1132,0.996,1.0,0.0,0.0,19
RGI60-19.00001,2000-01-01_2004-01-01,64608000.0,0.0487,0.6026,3143438.0,38935260.0,0.002672,0.033096,0.0414,0.5123,0.996,1.0,1.17,1.16,19
RGI60-19.00001,2000-01-01_2005-01-01,64608000.0,0.0016,0.534,102991.0,34499998.0,8.8e-05,0.029325,0.0014,0.4539,0.996,1.0,2.17,2.16,19
RGI60-19.00001,2000-01-01_2010-01-01,64608000.0,-0.0534,0.3199,-3452384.0,20665638.0,-0.002935,0.017567,-0.0454,0.2719,0.996,1.0,4.4,4.2,19
RGI60-19.00001,2000-01-01_2020-01-01,64608000.0,-0.1779,0.1498,-11495930.0,9678118.0,-0.009772,0.008255,-0.1512,0.1278,0.996,1.0,11.39,8.26,19
RGI60-19.00001,2001-01-01_2002-01-01,64608000.0,0.0174,2.4102,1124544.0,155718423.0,0.000956,0.132361,0.0148,2.0487,0.996,1.0,0.0,0.0,19
RGI60-19.00001,2002-01-01_2003-01-01,64608000.0,0.0517,2.0037,3337078.0,129457631.0,0.002837,0.110039,0.0439,1.7032,0.996,1.0,0.5,0.5,19
RGI60-19.00001,2002-01-01_2004-01-01,64608000.0,0.0641,0.9202,4141205.0,59453886.0,0.00352,0.050536,0.0545,0.7822,0.996,1.0,1.17,1.16,19
RGI60-19.00001,2003-01-01_2004-01-01,64608000.0,0.0765,1.7219,4945331.0,111248552.0,0.004204,0.094562,0.0651,1.4636,0.996,1.0,0.67,0.66,19
RGI60-19.00001,2004-01-01_2005-01-01,64608000.0,-0.1866,1.9118,-12058794.0,123519312.0,-0.01025,0.104994,-0.1586,1.6251,0.996,1.0,1.0,1.0,19
