rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-07.00001,2000-01-01_2001-01-01,597000.0,-0.8427,3.4486,-503087.0,2059426.0,-0.000428,0.001751,-0.7163,2.9335,1.0,1.0,1.0,1.0,7
RGI60-07.00001,2000-01-01_2002-01-01,597000.0,-0.9027,1.7018,-538939.0,1017415.0,-0.000458,0.000865,-0.7673,1.4516,1.0,1.0,2.6,1.98,7
RGI60-07.00001,2000-01-01_2004-01-01,597000.0,-0.8239,0.8478,-491839.0,508493.0,-0.000418,0.000433,-0.7003,0.729,1.0,1.0,8.02,3.98,7
RGI60-07.00001,2000-01-01_2005-01-01,597000.0,-0.7755,0.6919,-462984.0,415624.0,-0.000394,0.000354,-0.6592,0.5972,1.0,1.0,9.65,4.98,7
RGI60-07.00001,2000-01-01_2010-01-01,597000.0,-0.6171,0.382,-368401.0,231016.0,-0.000313,0.000198,-0.5245,0.3351,1.0,1.0,13.87,7.35,7
RGI60-07.00001,2000-01-01_2020-01-01,597000.0,-0.3844,0.1708,-229494.0,104501.0,-0.000195,9e-05,-0.3268,0.1541,1.0,1.0,43.44,14.48,7
RGI60-07.00001,2001-01-01_2002-01-01,597000.0,-0.9628,3.4125,-574792.0,2038077.0,-0.000489,0.001733,-0.8184,2.9035,1.0,1.0,1.6,0.98,7
RGI60-07.00001,2002-01-01_2003-01-01,597000.0,-0.8975,3.3695,-535832.0,2012300.0,-0.000455,0.001711,-0.7629,2.8666,1.0,1.0,1.98,1.0,7
RGI60-07.00001,2002-01-01_2004-01-01,597000.0,-0.745,1.6772,-444739.0,1002254.0,-0.000378,0.000852,-0.6332,1.4291,1.0,1.0,5.42,2.0,7
RGI60-07.00001,2003-01-01_2004-01-01,597000.0,-0.5924,3.3568,-353645.0,2004294.0,-0.000301,0.001704,-0.5035,2.8544,1.0,1.0,3.44,1.0,7
RGI60-07.00001,2004-01-01_2005-01-01,597000.0,-0.5822,3.4108,-347567.0,2036540.0,-0.000295,0.001731,-0.4949,2.9002,1.0,1.0,1.63,1.0,7
RGI60-07.00001,2004-01-01_2006-01-01,597000.0,-0.5925,1.6709,-353694.0,998163.0,-0.000301,0.000849,-0.5036,1.4225,1.0,1.0,4.48,2.0,7
RGI60-07.00001,2004-01-01_2008-01-01,597000.0,-0.524,0.8317,-312824.0,497534.0,-0.000266,0.000423,-0.4454,0.7105,1.0,1.0,5.85,3.37,7
RGI60-07.00001,2005-01-01_2006-01-01,597000.0,-0.6027,3.4111,-359822.0,2036735.0,-0.000306,0.001731,-0.5123,2.9006,1.0,1.0,2.85,1.0,7
RGI60-07.00001,2005-01-01_2010-01-01,597000.0,-0.4587,0.7675,-273818.0,459038.0,-0.000233,0.000391,-0.3899,0.6553,1.0,1.0,4.23,2.37,7
RGI60-07.00001,2006-01-01_2007-01-01,597000.0,-0.4608,3.5564,-275124.0,2123325.0,-0.000234,0.001805,-0.3917,3.0235,1.0,1.0,0.37,0.37,7
RGI60-07.00001,2006-01-01_2008-01-01,597000.0,-0.4555,1.6636,-271953.0,993564.0,-0.000231,0.000845,-0.3872,1.4154,1.0,1.0,1.37,1.37,7
RGI60-07.00001,2007-01-01_2008-01-01,597000.0,-0.4502,3.5424,-268782.0,2114986.0,-0.000228,0.001798,-0.3827,3.0117,1.0,1.0,1.0,1.0,7
RGI60-07.00001,2008-01-01_2009-01-01,597000.0,-0.4148,3.6238,-247653.0,2163555.0,-0.000211,0.001839,-0.3526,3.0807,1.0,1.0,0.0,0.0,7
RGI60-07.00001,2008-01-01_2010-01-01,597000.0,-0.3898,1.8817,-232682.0,1123616.0,-0.000198,0.000955,-0.3313,1.6003,1.0,1.0,0.0,0.0,7
RGI60-07.00001,2008-01-01_2012-01-01,597000.0,-0.3661,0.8423,-218585.0,503316.0,-0.000186,0.000428,-0.3112,0.7176,1.0,1.0,0.13,0.13,7
