rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-08.00001,2000-01-01_2001-01-01,30000.0,,6.5337,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2000-01-01_2002-01-01,30000.0,,3.2315,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2000-01-01_2004-01-01,30000.0,,1.5821,,,,,,,1.0,1.0,3.0,3.0,8
RGI60-08.00001,2000-01-01_2005-01-01,30000.0,,1.2696,,,,,,,1.0,1.0,6.0,4.0,8
RGI60-08.00001,2000-01-01_2010-01-01,30000.0,,0.675,,,,,,,1.0,1.0,8.0,6.0,8
RGI60-08.00001,2000-01-01_2020-01-01,30000.0,,0.335,,,,,,,1.0,1.0,13.0,10.0,8
RGI60-08.00001,2001-01-01_2002-01-01,30000.0,,6.193,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2002-01-01_2003-01-01,30000.0,,6.0663,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2002-01-01_2004-01-01,30000.0,,2.988,,,,,,,1.0,1.0,2.0,2.0,8
RGI60-08.00001,2003-01-01_2004-01-01,30000.0,,5.9227,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2004-01-01_2005-01-01,30000.0,,5.8515,,,,,,,1.0,1.0,3.0,1.0,8
RGI60-08.00001,2004-01-01_2006-01-01,30000.0,,2.941,,,,,,,1.0,1.0,4.0,2.0,8
RGI60-08.00001,2004-01-01_2008-01-01,30000.0,,1.5134,,,,,,,1.0,1.0,5.0,3.0,8
RGI60-08.00001,2005-01-01_2006-01-01,30000.0,,5.9031,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2005-01-01_2010-01-01,30000.0,,1.2611,,,,,,,1.0,1.0,2.0,2.0,8
RGI60-08.00001,2006-01-01_2007-01-01,30000.0,,5.9405,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2006-01-01_2008-01-01,30000.0,,3.0517,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2007-01-01_2008-01-01,30000.0,,6.1105,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2008-01-01_2009-01-01,30000.0,,6.3863,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2008-01-01_2010-01-01,30000.0,,3.2467,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2008-01-01_2012-01-01,30000.0,,1.6227,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2009-01-01_2010-01-01,30000.0,,6.6068,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2010-01-01_2011-01-01,30000.0,,6.8001,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2010-01-01_2012-01-01,30000.0,,3.3538,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2010-01-01_2015-01-01,30000.0,,1.2661,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2010-01-01_2020-01-01,30000.0,,0.6659,,,,,,,1.0,1.0,5.0,4.0,8
RGI60-08.00001,2011-01-01_2012-01-01,30000.0,,6.7975,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2012-01-01_2013-01-01,30000.0,,6.6063,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2012-01-01_2014-01-01,30000.0,,3.2484,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2012-01-01_2016-01-01,30000.0,,1.5968,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2013-01-01_2014-01-01,30000.0,,6.3949,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2014-01-01_2015-01-01,30000.0,,6.1066,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00001,2014-01-01_2016-01-01,30000.0,,3.0842,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2015-01-01_2016-01-01,30000.0,,5.9898,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2015-01-01_2020-01-01,30000.0,,1.2553,,,,,,,1.0,1.0,5.0,4.0,8
RGI60-08.00001,2016-01-01_2017-01-01,30000.0,,5.9587,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2016-01-01_2018-01-01,30000.0,,2.9993,,,,,,,1.0,1.0,3.0,2.0,8
RGI60-08.00001,2016-01-01_2020-01-01,30000.0,,1.5841,,,,,,,1.0,1.0,4.0,3.0,8
RGI60-08.00001,2017-01-01_2018-01-01,30000.0,,5.9036,,,,,,,1.0,1.0,2.0,1.0,8
RGI60-08.00001,2018-01-01_2019-01-01,30000.0,,6.0379,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2018-01-01_2020-01-01,30000.0,,3.1424,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00001,2019-01-01_2020-01-01,30000.0,,6.3738,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00002,2000-01-01_2001-01-01,30000.0,,5.3897,,,,,,,1.0,1.0,0.0,0.0,8
RGI60-08.00002,2000-01-01_2002-01-01,30000.0,,2.6642,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00002,2000-01-01_2004-01-01,30000.0,,1.3172,,,,,,,1.0,1.0,4.0,3.0,8
RGI60-08.00002,2000-01-01_2005-01-01,30000.0,,1.0644,,,,,,,1.0,1.0,7.0,4.0,8
RGI60-08.00002,2000-01-01_2010-01-01,30000.0,,0.5887,,,,,,,1.0,1.0,8.0,5.0,8
RGI60-08.00002,2000-01-01_2020-01-01,30000.0,,0.2852,,,,,,,1.0,1.0,14.0,9.0,8
RGI60-08.00002,2001-01-01_2002-01-01,30000.0,,5.053,,,,,,,1.0,1.0,1.0,1.0,8
RGI60-08.00002,2002-01-01_2003-01-01,30000.0,,4.9763,,,,,,,1.0,1.0,1.33,1.0,8
RGI60-08.00002,2002-01-01_2004-01-01,30000.0,,2.4619,,,,,,,1.0,1.0,3.0,2.0,8
RGI60-08.00002,2003-01-01_2004-01-01,30000.0,,4.9126,,,,,,,1.0,1.0,1.67,1.0,8
