rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-11.00001,2000-01-01_2001-01-01,122000.0,-0.8593,8.9034,-104836.0,1086441.0,-8.9e-05,0.000923,-0.7304,7.5713,1.0,1.0,0.0,0.0,11
RGI60-11.00001,2000-01-01_2002-01-01,122000.0,-0.8586,4.3545,-104750.0,531718.0,-8.9e-05,0.000452,-0.7298,3.7082,1.0,1.0,0.0,0.0,11
RGI60-11.00001,2000-01-01_2004-01-01,122000.0,-0.8618,2.1037,-105143.0,257632.0,-8.9e-05,0.000219,-0.7326,1.8025,1.0,1.0,1.3,1.0,11
RGI60-11.00001,2000-01-01_2005-01-01,122000.0,-0.8855,1.6337,-108034.0,200642.0,-9.2e-05,0.000171,-0.7527,1.4081,1.0,1.0,2.1,1.8,11
RGI60-11.00001,2000-01-01_2010-01-01,122000.0,-0.9258,0.83,-112944.0,104095.0,-9.6e-05,8.9e-05,-0.7869,0.7466,1.0,1.0,8.3,5.3,11
RGI60-11.00001,2000-01-01_2020-01-01,122000.0,-1.0505,0.4394,-128166.0,60200.0,-0.000109,5.2e-05,-0.893,0.4651,1.0,1.0,20.6,11.8,11
RGI60-11.00001,2001-01-01_2002-01-01,122000.0,-0.8579,8.4919,-104663.0,1036258.0,-8.9e-05,0.000881,-0.7292,7.2217,1.0,1.0,0.0,0.0,11
RGI60-11.00001,2002-01-01_2003-01-01,122000.0,-0.8224,8.0614,-100338.0,983728.0,-8.5e-05,0.000836,-0.6991,6.8556,1.0,1.0,0.0,0.0,11
RGI60-11.00001,2002-01-01_2004-01-01,122000.0,-0.8651,3.9891,-105537.0,487191.0,-9e-05,0.000414,-0.7353,3.3984,1.0,1.0,1.3,1.0,11
RGI60-11.00001,2003-01-01_2004-01-01,122000.0,-0.9077,7.7427,-110736.0,944902.0,-9.4e-05,0.000803,-0.7715,6.5856,1.0,1.0,1.3,1.0,11
RGI60-11.00001,2004-01-01_2005-01-01,122000.0,-0.9803,7.3843,-119600.0,901249.0,-0.000102,0.000766,-0.8333,6.282,1.0,1.0,0.8,0.8,11
RGI60-11.00001,2004-01-01_2006-01-01,122000.0,-0.9683,3.8191,-118135.0,466613.0,-0.0001,0.000397,-0.8231,3.2563,1.0,1.0,2.5,1.8,11
RGI60-11.00001,2004-01-01_2008-01-01,122000.0,-1.0329,1.8813,-126010.0,231097.0,-0.000107,0.000197,-0.8779,1.6222,1.0,1.0,6.2,3.6,11
RGI60-11.00001,2005-01-01_2006-01-01,122000.0,-0.9563,7.3659,-116671.0,898985.0,-9.9e-05,0.000764,-0.8129,6.2661,1.0,1.0,1.7,1.0,11
RGI60-11.00001,2005-01-01_2010-01-01,122000.0,-0.966,1.4506,-117853.0,178756.0,-0.0001,0.000152,-0.8211,1.2591,1.0,1.0,6.2,3.5,11
RGI60-11.00001,2006-01-01_2007-01-01,122000.0,-1.1369,7.5054,-138706.0,916138.0,-0.000118,0.000779,-0.9664,6.3866,1.0,1.0,1.4,0.8,11
RGI60-11.00001,2006-01-01_2008-01-01,122000.0,-1.0974,3.7536,-133886.0,458835.0,-0.000114,0.00039,-0.9328,3.2037,1.0,1.0,3.7,1.8,11
RGI60-11.00001,2007-01-01_2008-01-01,122000.0,-1.0579,7.3905,-129066.0,902065.0,-0.00011,0.000767,-0.8992,6.2881,1.0,1.0,2.3,1.0,11
RGI60-11.00001,2008-01-01_2009-01-01,122000.0,-0.7427,7.4393,-90613.0,907805.0,-7.7e-05,0.000772,-0.6313,6.3265,1.0,1.0,0.8,0.7,11
RGI60-11.00001,2008-01-01_2010-01-01,122000.0,-0.8394,3.6982,-102412.0,451714.0,-8.7e-05,0.000384,-0.7135,3.1513,1.0,1.0,0.8,0.7,11
RGI60-11.00001,2008-01-01_2012-01-01,122000.0,-0.9292,1.861,-113365.0,228336.0,-9.6e-05,0.000194,-0.7898,1.6008,1.0,1.0,4.7,2.6,11
RGI60-11.00001,2009-01-01_2010-01-01,122000.0,-0.9362,7.4434,-114212.0,908418.0,-9.7e-05,0.000772,-0.7957,6.3317,1.0,1.0,0.0,0.0,11
RGI60-11.00001,2010-01-01_2011-01-01,122000.0,-1.0098,7.3578,-123198.0,898036.0,-0.000105,0.000763,-0.8583,6.2598,1.0,1.0,1.8,1.0,11
RGI60-11.00001,2010-01-01_2012-01-01,122000.0,-1.019,3.7241,-124318.0,455115.0,-0.000106,0.000387,-0.8661,3.1769,1.0,1.0,3.9,1.9,11
RGI60-11.00001,2010-01-01_2015-01-01,122000.0,-1.0828,1.4809,-132104.0,182857.0,-0.000112,0.000156,-0.9204,1.2907,1.0,1.0,8.7,3.9,11
RGI60-11.00001,2010-01-01_2020-01-01,122000.0,-1.1753,0.7944,-143388.0,101647.0,-0.000122,8.7e-05,-0.999,0.743,1.0,1.0,12.3,6.5,11
RGI60-11.00001,2011-01-01_2012-01-01,122000.0,-1.0282,7.4057,-125437.0,903896.0,-0.000107,0.000768,-0.8739,6.3007,1.0,1.0,2.1,0.9,11
RGI60-11.00001,2012-01-01_2013-01-01,122000.0,-1.0781,7.4643,-131532.0,911078.0,-0.000112,0.000774,-0.9164,6.351,1.0,1.0,1.0,1.0,11
RGI60-11.00001,2012-01-01_2014-01-01,122000.0,-1.1141,3.7246,-135916.0,455325.0,-0.000116,0.000387,-0.947,3.1795,1.0,1.0,1.0,1.0,11
RGI60-11.00001,2012-01-01_2016-01-01,122000.0,-1.1384,1.8767,-138890.0,230869.0,-0.000118,0.000196,-0.9677,1.6232,1.0,1.0,5.4,2.6,11
RGI60-11.00001,2013-01-01_2014-01-01,122000.0,-1.15,7.4177,-140299.0,905456.0,-0.000119,0.00077,-0.9775,6.3123,1.0,1.0,0.0,0.0,11
RGI60-11.00001,2014-01-01_2015-01-01,122000.0,-1.148,7.4052,-140052.0,903933.0,-0.000119,0.000768,-0.9758,6.3017,1.0,1.0,3.8,1.0,11
RGI60-11.00001,2014-01-01_2016-01-01,122000.0,-1.1628,3.7302,-141864.0,456088.0,-0.000121,0.000388,-0.9884,3.1854,1.0,1.0,4.4,1.6,11
RGI60-11.00001,2015-01-01_2016-01-01,122000.0,-1.1777,7.4631,-143675.0,911012.0,-0.000122,0.000774,-1.001,6.3512,1.0,1.0,0.6,0.6,11
RGI60-11.00001,2015-01-01_2020-01-01,122000.0,-1.2678,1.5895,-154673.0,196714.0,-0.000131,0.000167,-1.0776,1.3919,1.0,1.0,3.6,2.6,11
RGI60-11.00001,2016-01-01_2017-01-01,122000.0,-1.2571,7.5886,-153363.0,926395.0,-0.00013,0.000787,-1.0685,6.4589,1.0,1.0,0.0,0.0,11
RGI60-11.00001,2016-01-01_2018-01-01,122000.0,-1.2593,3.8428,-153634.0,469973.0,-0.000131,0.0004,-1.0704,3.2833,1.0,1.0,2.0,1.0,11
RGI60-11.00001,2016-01-01_2020-01-01,122000.0,-1.2903,1.9997,-157423.0,246271.0,-0.000134,0.00021,-1.0968,1.7335,1.0,1.0,3.0,2.0,11
RGI60-11.00001,2017-01-01_2018-01-01,122000.0,-1.2615,7.755,-153905.0,946685.0,-0.000131,0.000805,-1.0723,6.6002,1.0,1.0,2.0,1.0,11
RGI60-11.00001,2018-01-01_2019-01-01,122000.0,-1.2837,7.909,-156606.0,965478.0,-0.000133,0.000821,-1.0911,6.7312,1.0,1.0,1.0,1.0,11
RGI60-11.00001,2018-01-01_2020-01-01,122000.0,-1.3214,4.0784,-161211.0,498754.0,-0.000137,0.000424,-1.1232,3.4841,1.0,1.0,1.0,1.0,11
RGI60-11.00001,2019-01-01_2020-01-01,122000.0,-1.3592,8.2136,-165817.0,1002683.0,-0.000141,0.000852,-1.1553,6.9907,1.0,1.0,0.0,0.0,11
RGI60-11.00002,2000-01-01_2001-01-01,2292000.0,-0.2167,4.0927,-496768.0,9380661.0,-0.000422,0.007974,-0.1842,3.4789,1.0,1.0,0.0,0.0,11
RGI60-11.00002,2000-01-01_2002-01-01,2292000.0,-0.2399,1.9551,-549745.0,4481207.0,-0.000467,0.003809,-0.2039,1.662,1.0,1.0,0.04,0.04,11
RGI60-11.00002,2000-01-01_2004-01-01,2292000.0,-0.2964,0.9054,-679274.0,2075983.0,-0.000577,0.001765,-0.2519,0.7704,1.0,1.0,2.81,1.19,11
RGI60-11.00002,2000-01-01_2005-01-01,2292000.0,-0.299,0.7268,-685272.0,1666871.0,-0.000582,0.001417,-0.2541,0.6188,1.0,1.0,3.8,2.17,11
RGI60-11.00002,2000-01-01_2010-01-01,2292000.0,-0.4157,0.3732,-952746.0,859043.0,-0.00081,0.000732,-0.3533,0.3209,1.0,1.0,11.88,6.19,11
RGI60-11.00002,2000-01-01_2020-01-01,2292000.0,-0.6174,0.2055,-1415001.0,485094.0,-0.001203,0.000421,-0.5248,0.1886,1.0,1.0,20.35,11.04,11
