rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-18.00001,2000-01-01_2001-01-01,25000.0,-0.1053,5.8786,-2632.0,146971.0,-2e-06,0.000125,-0.0895,4.9972,1.0,1.0,2.0,1.0,18
RGI60-18.00001,2000-01-01_2002-01-01,25000.0,-0.131,2.9096,-3275.0,72756.0,-3e-06,6.2e-05,-0.1113,2.4742,1.0,1.0,4.0,2.0,18
RGI60-18.00001,2000-01-01_2004-01-01,25000.0,-0.0979,1.4349,-2447.0,35891.0,-2e-06,3.1e-05,-0.0832,1.2209,1.0,1.0,13.0,4.0,18
RGI60-18.00001,2000-01-01_2005-01-01,25000.0,-0.0752,1.1443,-1880.0,28622.0,-2e-06,2.4e-05,-0.0639,0.9736,1.0,1.0,14.0,5.0,18
RGI60-18.00001,2000-01-01_2010-01-01,25000.0,-0.1329,0.5681,-3323.0,14287.0,-3e-06,1.2e-05,-0.113,0.4886,1.0,1.0,30.0,10.0,18
RGI60-18.00001,2000-01-01_2020-01-01,25000.0,-0.1218,0.3002,-3044.0,7638.0,-3e-06,6e-06,-0.1035,0.2642,1.0,1.0,91.67,20.0,18
RGI60-18.00001,2001-01-01_2002-01-01,25000.0,-0.1567,5.6913,-3918.0,142295.0,-3e-06,0.000121,-0.1332,4.8384,1.0,1.0,2.0,1.0,18
RGI60-18.00001,2002-01-01_2003-01-01,25000.0,-0.1787,5.5675,-4469.0,139203.0,-4e-06,0.000118,-0.1519,4.7334,1.0,1.0,4.0,1.0,18
RGI60-18.00001,2002-01-01_2004-01-01,25000.0,-0.0648,2.7739,-1619.0,69351.0,-1e-06,5.9e-05,-0.055,2.3581,1.0,1.0,9.0,2.0,18
RGI60-18.00001,2003-01-01_2004-01-01,25000.0,0.0492,5.4844,1231.0,137112.0,1e-06,0.000117,0.0418,4.6618,1.0,1.0,5.0,1.0,18
RGI60-18.00001,2004-01-01_2005-01-01,25000.0,0.0154,5.4454,386.0,136136.0,0.0,0.000116,0.0131,4.6286,1.0,1.0,1.0,1.0,18
RGI60-18.00001,2004-01-01_2006-01-01,25000.0,-0.0673,2.7251,-1682.0,68133.0,-1e-06,5.8e-05,-0.0572,2.3167,1.0,1.0,4.0,2.0,18
RGI60-18.00001,2004-01-01_2008-01-01,25000.0,-0.1435,1.353,-3587.0,33865.0,-3e-06,2.9e-05,-0.122,1.1528,1.0,1.0,11.0,4.0,18
RGI60-18.00001,2005-01-01_2006-01-01,25000.0,-0.15,5.4313,-3750.0,135793.0,-3e-06,0.000115,-0.1275,4.6174,1.0,1.0,3.0,1.0,18
RGI60-18.00001,2005-01-01_2010-01-01,25000.0,-0.1906,1.0767,-4766.0,27009.0,-4e-06,2.3e-05,-0.162,0.9215,1.0,1.0,16.0,5.0,18
RGI60-18.00001,2006-01-01_2007-01-01,25000.0,-0.1527,5.401,-3817.0,135037.0,-3e-06,0.000115,-0.1298,4.5917,1.0,1.0,3.0,1.0,18
RGI60-18.00001,2006-01-01_2008-01-01,25000.0,-0.2197,2.6988,-5493.0,67518.0,-5e-06,5.7e-05,-0.1867,2.2973,1.0,1.0,7.0,2.0,18
RGI60-18.00001,2007-01-01_2008-01-01,25000.0,-0.2867,5.3622,-7168.0,134097.0,-6e-06,0.000114,-0.2437,4.5608,1.0,1.0,4.0,1.0,18
RGI60-18.00001,2008-01-01_2009-01-01,25000.0,-0.185,5.3698,-4626.0,134262.0,-4e-06,0.000114,-0.1573,4.5655,1.0,1.0,1.0,1.0,18
RGI60-18.00001,2008-01-01_2010-01-01,25000.0,-0.1818,2.6748,-4546.0,66904.0,-4e-06,5.7e-05,-0.1546,2.2759,1.0,1.0,6.0,2.0,18
RGI60-18.00001,2008-01-01_2012-01-01,25000.0,-0.278,1.3374,-6950.0,33591.0,-6e-06,2.9e-05,-0.2363,1.1475,1.0,1.0,17.67,4.0,18
RGI60-18.00001,2009-01-01_2010-01-01,25000.0,-0.1787,5.3606,-4467.0,134032.0,-4e-06,0.000114,-0.1519,4.5576,1.0,1.0,5.0,1.0,18
RGI60-18.00001,2010-01-01_2011-01-01,25000.0,-0.4191,5.3396,-10479.0,133578.0,-9e-06,0.000114,-0.3563,4.5448,1.0,1.0,6.0,1.0,18
RGI60-18.00001,2010-01-01_2012-01-01,25000.0,-0.3741,2.6702,-9354.0,66896.0,-8e-06,5.7e-05,-0.318,2.2794,1.0,1.0,11.67,2.0,18
RGI60-18.00001,2010-01-01_2015-01-01,25000.0,-0.1727,1.0697,-4318.0,26818.0,-4e-06,2.3e-05,-0.1468,0.9144,1.0,1.0,32.67,5.0,18
RGI60-18.00001,2010-01-01_2020-01-01,25000.0,-0.1106,0.5683,-2765.0,14267.0,-2e-06,1.2e-05,-0.094,0.4871,1.0,1.0,61.67,10.0,18
RGI60-18.00001,2011-01-01_2012-01-01,25000.0,-0.3291,5.3395,-8228.0,133542.0,-7e-06,0.000114,-0.2798,4.5423,1.0,1.0,5.67,1.0,18
RGI60-18.00001,2012-01-01_2013-01-01,25000.0,-0.1131,5.3403,-2828.0,133513.0,-2e-06,0.000113,-0.0962,4.5397,1.0,1.0,7.0,1.0,18
RGI60-18.00001,2012-01-01_2014-01-01,25000.0,-0.0496,2.6774,-1240.0,66937.0,-1e-06,5.7e-05,-0.0422,2.276,1.0,1.0,13.0,2.0,18
RGI60-18.00001,2012-01-01_2016-01-01,25000.0,-0.0447,1.3408,-1118.0,33525.0,-1e-06,2.8e-05,-0.038,1.14,1.0,1.0,26.0,4.0,18
RGI60-18.00001,2013-01-01_2014-01-01,25000.0,0.0139,5.3548,348.0,133871.0,0.0,0.000114,0.0118,4.5516,1.0,1.0,6.0,1.0,18
RGI60-18.00001,2014-01-01_2015-01-01,25000.0,-0.0161,5.363,-401.0,134075.0,-0.0,0.000114,-0.0136,4.5585,1.0,1.0,8.0,1.0,18
RGI60-18.00001,2014-01-01_2016-01-01,25000.0,-0.0398,2.6889,-996.0,67224.0,-1e-06,5.7e-05,-0.0339,2.2857,1.0,1.0,13.0,2.0,18
RGI60-18.00001,2015-01-01_2016-01-01,25000.0,-0.0636,5.3715,-1590.0,134289.0,-1e-06,0.000114,-0.0541,4.5659,1.0,1.0,5.0,1.0,18
RGI60-18.00001,2015-01-01_2020-01-01,25000.0,-0.0485,1.1382,-1213.0,28461.0,-1e-06,2.4e-05,-0.0412,0.9679,1.0,1.0,29.0,5.0,18
RGI60-18.00001,2016-01-01_2017-01-01,25000.0,0.0071,5.4178,177.0,135444.0,0.0,0.000115,0.006,4.6051,1.0,1.0,4.0,1.0,18
RGI60-18.00001,2016-01-01_2018-01-01,25000.0,-0.0006,2.7208,-14.0,68019.0,-0.0,5.8e-05,-0.0005,2.3126,1.0,1.0,14.0,2.0,18
RGI60-18.00001,2016-01-01_2020-01-01,25000.0,-0.0447,1.4262,-1118.0,35660.0,-1e-06,3e-05,-0.038,1.2126,1.0,1.0,24.0,4.0,18
RGI60-18.00001,2017-01-01_2018-01-01,25000.0,-0.0082,5.4727,-206.0,136817.0,-0.0,0.000116,-0.007,4.6518,1.0,1.0,10.0,1.0,18
RGI60-18.00001,2018-01-01_2019-01-01,25000.0,-0.1288,5.5535,-3221.0,138846.0,-3e-06,0.000118,-0.1095,4.721,1.0,1.0,5.0,1.0,18
RGI60-18.00001,2018-01-01_2020-01-01,25000.0,-0.0889,2.8786,-2223.0,71972.0,-2e-06,6.1e-05,-0.0756,2.4473,1.0,1.0,10.0,2.0,18
RGI60-18.00001,2019-01-01_2020-01-01,25000.0,-0.049,5.8119,-1224.0,145299.0,-1e-06,0.000124,-0.0416,4.9402,1.0,1.0,5.0,1.0,18
RGI60-18.00002,2000-01-01_2001-01-01,74000.0,-0.0454,4.8903,-3357.0,361884.0,-3e-06,0.000308,-0.0386,4.1568,1.0,1.0,3.89,1.0,18
RGI60-18.00002,2000-01-01_2002-01-01,74000.0,-0.0047,2.4271,-350.0,179608.0,-0.0,0.000153,-0.004,2.0631,1.0,1.0,6.11,2.0,18
RGI60-18.00002,2000-01-01_2004-01-01,74000.0,-0.1233,1.1983,-9128.0,88731.0,-8e-06,7.5e-05,-0.1048,1.0199,1.0,1.0,13.44,4.0,18
RGI60-18.00002,2000-01-01_2005-01-01,74000.0,-0.1754,0.9546,-12978.0,70778.0,-1.1e-05,6e-05,-0.1491,0.8146,1.0,1.0,14.78,5.0,18
RGI60-18.00002,2000-01-01_2010-01-01,74000.0,-0.0731,0.4735,-5411.0,35085.0,-5e-06,3e-05,-0.0622,0.4036,1.0,1.0,32.78,10.0,18
RGI60-18.00002,2000-01-01_2020-01-01,74000.0,-0.1217,0.2517,-9008.0,18875.0,-8e-06,1.6e-05,-0.1035,0.2198,1.0,1.0,95.0,20.0,18
RGI60-18.00002,2001-01-01_2002-01-01,74000.0,0.0359,4.7511,2657.0,351585.0,2e-06,0.000299,0.0305,4.0385,1.0,1.0,2.22,1.0,18
RGI60-18.00002,2002-01-01_2003-01-01,74000.0,-0.1373,4.6656,-10160.0,345269.0,-9e-06,0.000293,-0.1167,3.9661,1.0,1.0,4.33,1.0,18
