country,short_name,names,id,latitude,longitude,gtng_region,glims_id,rgi50_ids,rgi60_ids,rgi70_ids,wgi_id,parent_glacier_id,references,remarks
CN,RGI60-14.03473,,108727,36.3777,76.1896,14_south_asia_west,,,RGI60-14.03473,,,,,
CN,RGI60-14.03479,,108731,36.3786,76.5785,14_south_asia_west,,,RGI60-14.03479,,,,,
CN,RGI60-14.03480,,108732,36.3809,76.5838,14_south_asia_west,,,RGI60-14.03480,,,,,
CN,RGI60-14.03489,,108741,36.3953,76.2058,14_south_asia_west,,,RGI60-14.03489,,,,,
CN,RGI60-14.03491,,108742,36.3996,76.2124,14_south_asia_west,,,RGI60-14.03491,,,,,
CN,RGI60-14.03492,,108743,36.3975,76.2127,14_south_asia_west,,,RGI60-14.03492,,,,,
CN,RGI60-14.03493,,108744,36.3879,76.2043,14_south_asia_west,,,RGI60-14.03493,,,,,
CN,RGI60-14.03495,,108746,36.3615,76.2447,14_south_asia_west,,,RGI60-14.03495,,,,,
CN,RGI60-14.03496,,108747,36.3657,76.2315,14_south_asia_west,,,RGI60-14.03496,,,,,
CN,RGI60-14.03498,,108748,36.3748,76.4566,14_south_asia_west,,,RGI60-14.03498,,,,,
CN,RGI60-14.03499,,108749,36.3757,76.1851,14_south_asia_west,,,RGI60-14.03499,,,,,
CN,RGI60-14.03504,,108753,36.3781,76.1934,14_south_asia_west,,,RGI60-14.03504,,,,,
CN,RGI60-14.03506,,108754,36.3804,76.5101,14_south_asia_west,,,RGI60-14.03506,,,,,
CN,RGI60-14.03507,,108755,36.3737,76.5074,14_south_asia_west,,,RGI60-14.03507,,,,,
CN,RGI60-14.03508,,108756,36.366,76.5021,14_south_asia_west,,,RGI60-14.03508,,,,,
CN,RGI60-14.03512,,108758,36.3655,76.6139,14_south_asia_west,,,RGI60-14.03512,,,,,
CN,RGI60-14.03518,,108761,36.3646,76.6314,14_south_asia_west,,,RGI60-14.03518,,,,,
CN,RGI60-14.03525,,108767,36.3664,76.5875,14_south_asia_west,,,RGI60-14.03525,,,,,
CN,RGI60-14.03528,,108770,36.3701,76.253,14_south_asia_west,,,RGI60-14.03528,,,,,
CN,RGI60-14.03529,,108771,36.3698,76.3702,14_south_asia_west,,,RGI60-14.03529,,,,,
CN,RGI60-14.03534,,108775,36.3644,76.6189,14_south_asia_west,,,RGI60-14.03534,,,,,
CN,RGI60-14.03570,,108803,36.3662,76.3777,14_south_asia_west,,,RGI60-14.03570,,,,,
CN,RGI60-14.03588,,108816,36.3769,76.2165,14_south_asia_west,,,RGI60-14.03588,,,,,
CN,RGI60-14.03589,,108817,36.3653,76.2229,14_south_asia_west,,,RGI60-14.03589,,,,,
CN,RGI60-14.03591,,108818,36.3634,76.593,14_south_asia_west,,,RGI60-14.03591,,,,,
CN,RGI60-14.03592,,108819,36.3619,76.6145,14_south_asia_west,,,RGI60-14.03592,,,,,
CN,RGI60-14.03593,,108820,36.3597,76.6112,14_south_asia_west,,,RGI60-14.03593,,,,,
CN,RGI60-14.03600,,108826,36.359,76.3916,14_south_asia_west,,,RGI60-14.03600,,,,,
CN,RGI60-14.03601,,108827,36.3525,76.3993,14_south_asia_west,,,RGI60-14.03601,,,,,
CN,RGI60-14.03602,,108828,36.3584,76.2634,14_south_asia_west,,,RGI60-14.03602,,,,,
CN,RGI60-14.03606,,108830,36.3777,76.5122,14_south_asia_west,,,RGI60-14.03606,,,,,
CN,RGI60-14.03607,,108831,36.3798,76.5359,14_south_asia_west,,,RGI60-14.03607,,,,,
CN,RGI60-14.03608,,108832,36.377,76.536,14_south_asia_west,,,RGI60-14.03608,,,,,
CN,RGI60-14.03609,,108833,36.3756,76.5124,14_south_asia_west,,,RGI60-14.03609,,,,,
CN,RGI60-14.03610,,108834,36.3728,76.5112,14_south_asia_west,,,RGI60-14.03610,,,,,
CN,RGI60-14.03650,,108868,36.3537,76.5785,14_south_asia_west,,,RGI60-14.03650,,,,,
CN,RGI60-14.03651,,108869,36.3566,76.2557,14_south_asia_west,,,RGI60-14.03651,,,,,
CN,RGI60-14.03665,,108880,36.3475,76.407,14_south_asia_west,,,RGI60-14.03665,,,,,
CN,RGI60-14.03667,,108882,36.3542,76.5297,14_south_asia_west,,,RGI60-14.03667,,,,,
CN,RGI60-14.03668,,108883,36.3518,76.5571,14_south_asia_west,,,RGI60-14.03668,,,,,
CN,RGI60-14.03669,,108884,36.3527,76.2396,14_south_asia_west,,,RGI60-14.03669,,,,,
CN,RGI60-14.03673,,108887,36.353,76.5674,14_south_asia_west,,,RGI60-14.03673,,,,,
CN,RGI60-14.03681,,108892,36.3462,76.2653,14_south_asia_west,,,RGI60-14.03681,,,,,
CN,RGI60-14.03686,,108896,36.3493,76.2347,14_south_asia_west,,,RGI60-14.03686,,,,,
CN,RGI60-14.03697,,108902,36.3665,76.4576,14_south_asia_west,,,RGI60-14.03697,,,,,
CN,RGI60-14.03699,,108903,36.3534,76.4494,14_south_asia_west,,,RGI60-14.03699,,,,,
CN,RGI60-14.03700,,108904,36.3472,76.5146,14_south_asia_west,,,RGI60-14.03700,,,,,
CN,RGI60-14.03701,,108905,36.3475,76.5412,14_south_asia_west,,,RGI60-14.03701,,,,,
CN,RGI60-14.03710,,108912,36.3437,76.4115,14_south_asia_west,,,RGI60-14.03710,,,,,
CN,RGI60-14.03712,,108914,36.3486,76.5076,14_south_asia_west,,,RGI60-14.03712,,,,,
CN,RGI60-14.03721,,108921,36.3708,76.4473,14_south_asia_west,,,RGI60-14.03721,,,,,
